Field change time,Message,Device,Availability Period
2025-01-31 12:59:53.791,Remote unit state changed from Connecting to Initializing.,S1-VSP-0029,ม.ค. 2025
2025-01-31 12:59:46.544,Remote unit state changed from Initializing to Online.,S1-VSP-0020,ม.ค. 2025
2025-01-31 12:59:44.545,Remote unit state changed from Connecting to Initializing.,S1-VSP-0020,ม.ค. 2025
2025-01-31 12:59:40.460,Remote unit state changed from Initializing to Online.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:59:39.497,Remote unit state changed from Online to Connecting.,S1-VSP-0020,ม.ค. 2025
2025-01-31 12:59:38.437,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:59:33.359,Remote unit state changed from Online to Connecting.,S1-VSP-0029,ม.ค. 2025
2025-01-31 12:59:28.229,Remote unit state changed from Online to Connecting.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:57:52.489,Remote unit state changed from Initializing to Online.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:57:50.520,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:57:34.233,Remote unit state changed from Online to Connecting.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:57:11.889,Remote unit state changed from Initializing to Online.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:57:08.853,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:56:18.940,Remote unit state changed from Online to Connecting.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:56:02.633,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:55:59.473,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:55:57.441,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:55:46.262,Remote unit state changed from Initializing to Online.,S1-VSP-0023,ม.ค. 2025
2025-01-31 12:55:44.303,Remote unit state changed from Initializing to Online.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:55:44.261,Remote unit state changed from Connecting to Initializing.,S1-VSP-0023,ม.ค. 2025
2025-01-31 12:55:42.197,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:55:41.180,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:55:41.138,Remote unit state changed from Connecting to Initializing.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:55:39.217,Remote unit state changed from Initializing to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:55:39.199,Remote unit state changed from Initializing to Connecting.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:55:39.196,Remote unit state changed from Initializing to Online.,S1-VSP-0027,ม.ค. 2025
2025-01-31 12:55:34.069,Remote unit state changed from Connecting to Initializing.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:55:34.037,Remote unit state changed from Initializing to Online.,S1-VSP-0026,ม.ค. 2025
2025-01-31 12:55:34.035,Remote unit state changed from Initializing to Online.,S1-VSP-0021,ม.ค. 2025
2025-01-31 12:55:33.006,Remote unit state changed from Connecting to Initializing.,S1-VSP-0027,ม.ค. 2025
2025-01-31 12:55:32.991,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:55:32.621,Remote unit state changed from Connecting to Initializing.,S1-VSP-0021,ม.ค. 2025
2025-01-31 12:55:32.614,Remote unit state changed from Connecting to Initializing.,S1-VSP-0026,ม.ค. 2025
2025-01-31 12:55:31.055,Remote unit state changed from Initializing to Online.,S1-VSP-0029,ม.ค. 2025
2025-01-31 12:55:31.047,Remote unit state changed from Online to Connecting.,S1-VSP-0023,ม.ค. 2025
2025-01-31 12:55:31.038,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:55:29.951,Remote unit state changed from Online to Connecting.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:55:29.009,Remote unit state changed from Online to Connecting.,S1-VSP-0021,ม.ค. 2025
2025-01-31 12:55:28.852,Remote unit state changed from Online to Connecting.,S1-VSP-0026,ม.ค. 2025
2025-01-31 12:55:28.837,Remote unit state changed from Online to Connecting.,S1-VSP-0027,ม.ค. 2025
2025-01-31 12:55:28.402,Remote unit state changed from Connecting to Initializing.,S1-VSP-0029,ม.ค. 2025
2025-01-31 12:55:25.778,Remote unit state changed from Online to Connecting.,S1-VSP-0029,ม.ค. 2025
2025-01-31 12:49:54.113,Remote unit state changed from Initializing to Online.,S1-VSP-0022,ม.ค. 2025
2025-01-31 12:49:52.826,Remote unit state changed from Connecting to Initializing.,S1-VSP-0022,ม.ค. 2025
2025-01-31 12:49:52.748,Remote unit state changed from Initializing to Online.,S1-VSP-0020,ม.ค. 2025
2025-01-31 12:49:50.053,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:49:49.037,Remote unit state changed from Connecting to Initializing.,S1-VSP-0020,ม.ค. 2025
2025-01-31 12:49:46.963,Remote unit state changed from Initializing to Online.,S1-VSP-0023,ม.ค. 2025
2025-01-31 12:49:45.992,Remote unit state changed from Initializing to Online.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:49:41.292,Remote unit state changed from Initializing to Online.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:49:40.788,Remote unit state changed from Initializing to Online.,S1-VSP-0021,ม.ค. 2025
2025-01-31 12:49:40.710,Remote unit state changed from Connecting to Initializing.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:49:40.554,Remote unit state changed from Initializing to Online.,S1-VSP-0026,ม.ค. 2025
2025-01-31 12:49:40.538,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:49:38.112,Remote unit state changed from Connecting to Initializing.,S1-VSP-0021,ม.ค. 2025
2025-01-31 12:49:38.097,Remote unit state changed from Connecting to Initializing.,S1-VSP-0023,ม.ค. 2025
2025-01-31 12:49:37.987,Remote unit state changed from Connecting to Initializing.,S1-VSP-0026,ม.ค. 2025
2025-01-31 12:49:37.800,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:49:37.284,Remote unit state changed from Online to Connecting.,S1-VSP-0026,ม.ค. 2025
2025-01-31 12:49:37.253,Remote unit state changed from Online to Connecting.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:49:30.769,Remote unit state changed from Online to Connecting.,S1-VSP-0022,ม.ค. 2025
2025-01-31 12:49:28.769,Remote unit state changed from Online to Connecting.,S1-VSP-0020,ม.ค. 2025
2025-01-31 12:49:17.542,Remote unit state changed from Initializing to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:49:16.540,Remote unit state changed from Initializing to Online.,S1-VSP-0022,ม.ค. 2025
2025-01-31 12:49:14.646,Remote unit state changed from Connecting to Initializing.,S1-VSP-0022,ม.ค. 2025
2025-01-31 12:49:13.502,Remote unit state changed from Initializing to Online.,S1-VSP-0020,ม.ค. 2025
2025-01-31 12:49:13.473,Remote unit state changed from Initializing to Online.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:49:12.522,Remote unit state changed from Initializing to Online.,S1-VSP-0026,ม.ค. 2025
2025-01-31 12:49:11.485,Remote unit state changed from Connecting to Initializing.,S1-VSP-0020,ม.ค. 2025
2025-01-31 12:49:05.371,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:49:05.365,Remote unit state changed from Connecting to Initializing.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:49:01.237,Remote unit state changed from Initializing to Online.,S1-VSP-0029,ม.ค. 2025
2025-01-31 12:49:00.424,Remote unit state changed from Connecting to Initializing.,S1-VSP-0026,ม.ค. 2025
2025-01-31 12:49:00.415,Remote unit state changed from Online to Connecting.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:49:00.409,Remote unit state changed from Initializing to Connecting.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:49:00.198,Remote unit state changed from Initializing to Online.,S1-VSP-0027,ม.ค. 2025
2025-01-31 12:48:57.111,Remote unit state changed from Online to Connecting.,S1-VSP-0021,ม.ค. 2025
2025-01-31 12:48:56.156,Remote unit state changed from Initializing to Connecting.,S1-VSP-0023,ม.ค. 2025
2025-01-31 12:48:55.193,Remote unit state changed from Initializing to Connecting.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:48:52.051,Remote unit state changed from Online to Connecting.,S1-VSP-0020,ม.ค. 2025
2025-01-31 12:48:52.047,Remote unit state changed from Connecting to Initializing.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:48:51.104,Remote unit state changed from Connecting to Initializing.,S1-VSP-0023,ม.ค. 2025
2025-01-31 12:48:50.065,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:48:48.991,Remote unit state changed from Connecting to Initializing.,S1-VSP-0027,ม.ค. 2025
2025-01-31 12:48:48.962,Remote unit state changed from Connecting to Initializing.,S1-VSP-0029,ม.ค. 2025
2025-01-31 12:48:47.004,Remote unit state changed from Online to Connecting.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:48:45.851,Remote unit state changed from Online to Connecting.,S1-VSP-0022,ม.ค. 2025
2025-01-31 12:48:37.655,Remote unit state changed from Initializing to Online.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:48:36.570,Remote unit state changed from Initializing to Online.,S1-VSP-0021,ม.ค. 2025
2025-01-31 12:48:35.568,Remote unit state changed from Connecting to Initializing.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:48:31.547,Remote unit state changed from Initializing to Connecting.,S1-VSP-0026,ม.ค. 2025
2025-01-31 12:48:31.516,Remote unit state changed from Initializing to Connecting.,S1-VSP-0023,ม.ค. 2025
2025-01-31 12:48:25.566,Remote unit state changed from Connecting to Initializing.,S1-VSP-0026,ม.ค. 2025
2025-01-31 12:48:25.509,Remote unit state changed from Connecting to Initializing.,S1-VSP-0023,ม.ค. 2025
2025-01-31 12:48:24.555,Remote unit state changed from Initializing to Online.,S1-VSP-0022,ม.ค. 2025
2025-01-31 12:48:24.401,Remote unit state changed from Connecting to Initializing.,S1-VSP-0021,ม.ค. 2025
2025-01-31 12:48:20.350,Remote unit state changed from Online to Connecting.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:48:19.333,Remote unit state changed from Initializing to Connecting.,S1-VSP-0027,ม.ค. 2025
2025-01-31 12:48:19.324,Remote unit state changed from Initializing to Connecting.,S1-VSP-0029,ม.ค. 2025
2025-01-31 12:48:15.262,Remote unit state changed from Initializing to Connecting.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:48:14.331,Remote unit state changed from Connecting to Initializing.,S1-VSP-0027,ม.ค. 2025
2025-01-31 12:48:14.233,Remote unit state changed from Connecting to Initializing.,S1-VSP-0029,ม.ค. 2025
2025-01-31 12:48:13.105,Remote unit state changed from Connecting to Initializing.,S1-VSP-0022,ม.ค. 2025
2025-01-31 12:48:03.907,Remote unit state changed from Connecting to Initializing.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:48:00.954,Remote unit state changed from Initializing to Online.,S1-VSP-0025,ม.ค. 2025
2025-01-31 12:47:59.815,Remote unit state changed from Initializing to Online.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:47:58.816,Remote unit state changed from Initializing to Connecting.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:47:54.730,Remote unit state changed from Initializing to Connecting.,S1-VSP-0021,ม.ค. 2025
2025-01-31 12:47:49.631,Remote unit state changed from Connecting to Initializing.,S1-VSP-0024,ม.ค. 2025
2025-01-31 12:47:48.743,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0020,ม.ค. 2025
2025-01-31 12:47:48.708,Remote unit state changed from Connecting to Initializing.,S1-VSP-0021,ม.ค. 2025
2025-01-31 12:47:47.647,Remote unit state changed from Connecting to Initializing.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:47:47.623,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0020,ม.ค. 2025
2025-01-31 12:47:46.705,Remote unit state changed from Online to Connecting.,S1-VSP-0023,ม.ค. 2025
2025-01-31 12:47:46.627,Remote unit state changed from Online to Connecting.,S1-VSP-0026,ม.ค. 2025
2025-01-31 12:47:45.605,Remote unit state changed from Online to Connecting.,S1-VSP-0027,ม.ค. 2025
2025-01-31 12:47:44.547,Remote unit state changed from Online to Connecting.,S1-VSP-0029,ม.ค. 2025
2025-01-31 12:47:43.570,Remote unit state changed from Initializing to Connecting.,S1-VSP-0022,ม.ค. 2025
2025-01-31 12:47:37.443,Remote unit state changed from Initializing to Connecting.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:47:36.591,Remote unit state changed from Connecting to Initializing.,S1-VSP-0022,ม.ค. 2025
2025-01-31 12:47:28.381,Remote unit state changed from Connecting to Initializing.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:47:26.378,Remote unit state changed from Initializing to Online.,S1-VSP-0026,ม.ค. 2025
2025-01-31 12:47:25.339,Remote unit state changed from Initializing to Online.,S1-VSP-0020,ม.ค. 2025
2025-01-31 12:47:25.272,Remote unit state changed from Initializing to Online.,S1-VSP-0027,ม.ค. 2025
2025-01-31 12:47:24.242,Remote unit state changed from Connecting to Initializing.,S1-VSP-0026,ม.ค. 2025
2025-01-31 12:47:23.389,Remote unit state changed from Online to Connecting.,S1-VSP-0028,ม.ค. 2025
2025-01-31 12:47:23.364,Remote unit state changed from Initializing to Online.,S1-VSP-0029,ม.ค. 2025
2025-01-31 12:47:23.265,Remote unit state changed from Connecting to Initializing.,S1-VSP-0029,ม.ค. 2025
2025-01-31 12:47:22.313,Remote unit state changed from Online to Connecting.,S1-VSP-0026,ม.ค. 2025
