Field change time,Message,Device,Availability Period
2025-03-31 22:09:10.001,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0024,มี.ค. 2025
2025-03-31 22:08:57.821,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0024,มี.ค. 2025
2025-03-31 22:08:54.768,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0025,มี.ค. 2025
2025-03-31 22:05:12.010,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0021,มี.ค. 2025
2025-03-31 22:05:07.500,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0021,มี.ค. 2025
2025-03-31 22:02:04.302,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0026,มี.ค. 2025
2025-03-31 22:01:22.630,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0026,มี.ค. 2025
2025-03-31 22:00:30.702,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0028,มี.ค. 2025
2025-03-31 22:00:13.440,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0028,มี.ค. 2025
2025-03-31 21:41:43.638,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0029,มี.ค. 2025
2025-03-31 21:40:39.481,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0029,มี.ค. 2025
2025-03-31 21:39:09.939,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0029,มี.ค. 2025
2025-03-31 21:38:25.233,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0029,มี.ค. 2025
2025-03-31 21:37:55.667,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0020,มี.ค. 2025
2025-03-31 21:37:10.869,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0020,มี.ค. 2025
2025-03-31 21:32:24.700,Remote unit state changed from Telemetry Failure to Online.,S1-VSP-0022,มี.ค. 2025
2025-03-31 21:32:13.540,Remote unit state changed from Online to Telemetry Failure.,S1-VSP-0022,มี.ค. 2025
2025-03-31 21:29:35.706,Remote unit state changed from Initializing to Online.,S1-VSP-0025,มี.ค. 2025
2025-03-31 21:29:32.668,Remote unit state changed from Connecting to Initializing.,S1-VSP-0025,มี.ค. 2025
