sep=,
Process time,Field change time,Element,Alias,Message,Type,RTU,Substation,Device,AOR,Region,Device type,Location,Subregion,Feeder,Note,Severity,Category,Class,Activity,Inhibit,Source,User name,Console name,Reason source,Reason ID,Voltage level [kV]
31/01/2025 21:00:06.086,31/01/2025 21:00:06.086,BPB_S,BPB_S WRL Huawei (ITEM 10),Remote unit state changed from Connecting to Initializing.,Event,BPB_S,BAN PONG 2,BPB_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,BAN PONG 2,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
31/01/2025 20:53:05.659,31/01/2025 20:53:05.658,BPB_S,BPB_S WRL Huawei (ITEM 10),Remote unit state changed from Online to Connecting.,Event,BPB_S,BAN PONG 2,BPB_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,BAN PONG 2,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
31/01/2025 20:41:20.241,31/01/2025 20:41:20.241,CAC_S,CAC_S,Remote unit state changed from Telemetry Failure to Online.,Event,CAC_S,CHA AM 3,CAC_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,CHA AM 3,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
31/01/2025 20:41:15.140,31/01/2025 20:41:15.139,CAC_S,CAC_S,Remote unit state changed from Online to Telemetry Failure.,Event,CAC_S,CHA AM 3,CAC_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,CHA AM 3,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
31/01/2025 20:11:21.701,31/01/2025 20:11:21.700,RNA_S,RNA_S,Remote unit state changed from Initializing to Online.,Event,RNA_S,RANONG 1,RNA_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,RANONG 1,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
31/01/2025 20:11:20.687,31/01/2025 20:11:20.686,RNA_S,RNA_S,Remote unit state changed from Connecting to Initializing.,Event,RNA_S,RANONG 1,RNA_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,RANONG 1,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
31/01/2025 20:11:11.480,31/01/2025 20:11:11.479,RNA_S,RNA_S,Remote unit state changed from Online to Connecting.,Event,RNA_S,RANONG 1,RNA_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,RANONG 1,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
31/01/2025 20:08:01.152,31/01/2025 20:08:01.145,DNA_S,DNA_S,Remote unit state changed from Initializing to Online.,Event,DNA_S,DAMNOEN SADUAK,DNA_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,DAMNOEN SADUAK,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
31/01/2025 20:07:57.073,31/01/2025 20:07:57.072,DNA_S,DNA_S,Remote unit state changed from Connecting to Initializing.,Event,DNA_S,DAMNOEN SADUAK,DNA_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,DAMNOEN SADUAK,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
31/01/2025 20:07:53.967,31/01/2025 20:07:53.967,DNA_S,DNA_S,Remote unit state changed from Online to Connecting.,Event,DNA_S,DAMNOEN SADUAK,DNA_S,"S1-HV, S1-MV, S1-Viewer",S1 MV,Remote unit,DAMNOEN SADUAK,,,,Trivial,,,Telemetry Alarm,None,SCADA,core\dnaApp_pcore,DC1-COR-DRT2,,,
